State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,BATHINDA,BATHINDA,Baba Jivan Singh Nagar,179,247,137,188,0,0,83,164
PUNJAB,BATHINDA,BATHINDA,BAHU JATRI,167,317,72,140,0,0,179,138
PUNJAB,BATHINDA,BATHINDA,BAHU SIBIAN,156,253,104,165,0,0,173,80
PUNJAB,BATHINDA,BATHINDA,BAJIGAR BASTI,189,368,182,357,0,0,163,205
PUNJAB,BATHINDA,BATHINDA,BALLUANA,733,1002,586,816,0,0,557,445
PUNJAB,BATHINDA,BATHINDA,BEHMAN DIWANA,555,987,409,722,0,0,425,562
PUNJAB,BATHINDA,BATHINDA,BHAGOO,281,552,206,419,0,0,240,312
PUNJAB,BATHINDA,BATHINDA,BHISIANA,220,423,161,332,0,0,209,214
PUNJAB,BATHINDA,BATHINDA,BIR BEHMAN,345,639,310,584,0,0,307,332
PUNJAB,BATHINDA,BATHINDA,BULLADEWALA,374,749,325,644,0,0,354,395
PUNJAB,BATHINDA,BATHINDA,BURAJ MEHMA,725,1411,661,1292,0,0,695,716
PUNJAB,BATHINDA,BATHINDA,CHUGHE KALAN,439,838,351,684,0,0,410,428
PUNJAB,BATHINDA,BATHINDA,CHUGHE KHURD,293,599,233,476,0,0,297,302
PUNJAB,BATHINDA,BATHINDA,DEON,558,1172,484,1040,0,0,602,570
PUNJAB,BATHINDA,BATHINDA,Deon Khurd,224,485,217,471,0,0,232,253
PUNJAB,BATHINDA,BATHINDA,DHAN SINGH KHANNA,301,551,199,395,0,0,311,240
PUNJAB,BATHINDA,BATHINDA,GEHRI DEVI NAGAR,360,680,221,406,0,0,321,359
PUNJAB,BATHINDA,BATHINDA,GULABGARH,193,314,155,260,0,0,148,166
PUNJAB,BATHINDA,BATHINDA,JASSI PAUWALI,297,462,196,297,0,0,180,282
PUNJAB,BATHINDA,BATHINDA,JHUMBA,609,1188,422,851,0,0,620,568
PUNJAB,BATHINDA,BATHINDA,JODHPUR ROMANA,322,546,236,412,0,0,257,289
PUNJAB,BATHINDA,BATHINDA,KARAMGARH SATRAN,313,604,225,475,0,0,326,278
PUNJAB,BATHINDA,BATHINDA,KATAR SINGH WALA,283,569,232,487,0,0,270,299
PUNJAB,BATHINDA,BATHINDA,MIAN,175,372,133,291,0,0,190,182
PUNJAB,BATHINDA,BATHINDA,MULTANIA,191,388,180,370,0,0,183,205
PUNJAB,BATHINDA,BATHINDA,NARUANA,479,943,366,732,0,0,409,534
PUNJAB,BATHINDA,BATHINDA,PHUS MANDI,314,578,269,500,0,0,232,346
PUNJAB,BATHINDA,BATHINDA,SARDARGARH,310,548,261,463,0,0,256,292
PUNJAB,BATHINDA,BATHINDA,TALAAB NEHAR BASTI NO .1-4-5,638,988,516,791,0,0,358,630
PUNJAB,BATHINDA,BATHINDA,"TALAB NEHAR BASTI NO .2,3",634,1144,597,1072,0,0,615,529
PUNJAB,BATHINDA,BATHINDA,TEONA,410,849,346,713,0,0,389,460
PUNJAB,BATHINDA,BATHINDA,VIRK KALAN,312,669,207,457,0,0,346,323
PUNJAB,BATHINDA,BATHINDA,VIRK KHURD,452,987,413,920,0,0,501,486
PUNJAB,BATHINDA,Goniana,ABLU,415,872,362,769,0,0,430,442
PUNJAB,BATHINDA,Goniana,AKLIAN KALAN,634,945,538,792,0,0,400,545
PUNJAB,BATHINDA,Goniana,AKLIAN KHURD,36,54,24,38,0,0,29,25
PUNJAB,BATHINDA,Goniana,AMARGARH,119,236,104,210,0,0,115,121
PUNJAB,BATHINDA,Goniana,BALAHAR BINJU,256,530,224,479,1,2,241,289
PUNJAB,BATHINDA,Goniana,BALAHAR MEHMA,386,622,239,439,0,0,352,270
PUNJAB,BATHINDA,Goniana,BARKANDI,293,618,200,439,0,0,342,276
PUNJAB,BATHINDA,Goniana,Bhokhra Khurd,142,248,111,198,0,0,104,144
PUNJAB,BATHINDA,Goniana,BOKHRA,721,1294,526,986,0,0,627,667
PUNJAB,BATHINDA,Goniana,DAN SINGH WALA,480,824,349,600,0,0,438,386
PUNJAB,BATHINDA,Goniana,GANGA,436,667,309,456,0,0,317,350
PUNJAB,BATHINDA,Goniana,GILL PATTI,492,892,435,800,0,0,393,499
PUNJAB,BATHINDA,Goniana,GONIANA KALAN,205,372,153,307,0,0,194,178
PUNJAB,BATHINDA,Goniana,GONIANA KHURD,345,615,294,527,0,0,299,316
PUNJAB,BATHINDA,Goniana,HARRAIPUR,471,884,396,769,0,0,444,440
PUNJAB,BATHINDA,Goniana,JANDA WALA,955,1485,708,1166,0,0,804,681
PUNJAB,BATHINDA,Goniana,JEEDA,731,1181,658,1052,0,0,555,626
PUNJAB,BATHINDA,Goniana,KHEMUANA,618,1176,440,907,0,0,670,506
PUNJAB,BATHINDA,Goniana,KHIALIWALA,545,1054,328,670,0,0,492,562
PUNJAB,BATHINDA,Goniana,KILLI NIHAL SINGH WALA,467,783,415,697,0,0,325,458
PUNJAB,BATHINDA,Goniana,KOTHA INDER SINGH WALA,208,394,150,299,0,0,223,171
PUNJAB,BATHINDA,Goniana,KOTHA NATHA SINGH WALA,258,526,234,483,0,0,241,285
PUNJAB,BATHINDA,Goniana,KOTHA PHULA SINGH WALE,96,200,75,154,0,0,106,94
PUNJAB,BATHINDA,Goniana,KOTHE BUDH SINGH WALE,10,13,3,3,0,0,13,0
PUNJAB,BATHINDA,Goniana,KOTHE CHET SINGH,233,412,165,295,0,0,216,196
PUNJAB,BATHINDA,Goniana,KOTHE KAUR SINGH WALE,130,233,101,192,0,0,135,98
PUNJAB,BATHINDA,Goniana,KOTHE LAKHI JANGAL,92,175,61,115,0,0,98,77
PUNJAB,BATHINDA,Goniana,KOTHE LAL SINGH WALE,99,175,68,132,0,0,103,72
PUNJAB,BATHINDA,Goniana,Kothe Mansoor Ke,67,72,0,0,0,0,70,2
PUNJAB,BATHINDA,Goniana,KOTHE NATHIANA,209,348,192,326,0,0,156,192
PUNJAB,BATHINDA,Goniana,KOTHE SANDHUANA,112,273,110,269,0,0,139,134
PUNJAB,BATHINDA,Goniana,MEHMA BHAGWANA,281,504,228,425,0,0,272,232
PUNJAB,BATHINDA,Goniana,MEHMA SARJA,806,1494,577,1139,0,0,722,772
PUNJAB,BATHINDA,Goniana,MEHMA SARKARI,240,440,184,351,0,0,218,222
PUNJAB,BATHINDA,Goniana,MEHMA SEWAII,504,798,356,572,0,0,429,369
PUNJAB,BATHINDA,Goniana,NAHIAN WALA,920,1429,718,1106,0,0,679,750
PUNJAB,BATHINDA,Goniana,SIBIAN,682,1349,623,1257,0,0,686,663
PUNJAB,BATHINDA,MAUR,BAGHER CHARAT,239,360,127,220,0,0,206,154
PUNJAB,BATHINDA,MAUR,BAGHER MOHABBAT,194,335,102,198,0,0,186,149
PUNJAB,BATHINDA,MAUR,BHAI BAKHTOUR,439,817,336,648,0,0,468,349
PUNJAB,BATHINDA,MAUR,BURAJ ( MANSA ),431,757,325,617,0,0,369,388
PUNJAB,BATHINDA,MAUR,BURAJ SEMA,312,547,184,391,0,0,325,222
PUNJAB,BATHINDA,MAUR,CHANNARTHAL,474,826,345,602,0,0,459,367
PUNJAB,BATHINDA,MAUR,GEHARI BARA SINGH,227,579,202,530,0,0,297,282
PUNJAB,BATHINDA,MAUR,GHASO KHANNA,158,246,77,155,0,0,159,87
PUNJAB,BATHINDA,MAUR,GHUMAN KHURD,191,332,86,189,0,0,216,116
PUNJAB,BATHINDA,MAUR,GHUMMAN KALAN,802,1447,592,1135,0,0,797,650
PUNJAB,BATHINDA,MAUR,JATRI,285,616,157,373,0,0,384,232
PUNJAB,BATHINDA,MAUR,JODHPUR PAKHAR,611,1094,503,937,0,0,589,505
PUNJAB,BATHINDA,MAUR,KAMAALU,463,983,296,685,1,2,517,466
PUNJAB,BATHINDA,MAUR,KOT BHARA,338,641,276,542,0,0,346,295
PUNJAB,BATHINDA,MAUR,KOTLI KHURAD,396,782,273,572,0,0,402,380
PUNJAB,BATHINDA,MAUR,KUTTIWAL KALAN,390,610,159,343,0,0,412,198
PUNJAB,BATHINDA,MAUR,KUTTIWAL KHURD,253,476,118,258,0,0,304,172
PUNJAB,BATHINDA,MAUR,MAISER KHANNA,659,1235,372,709,0,0,699,536
PUNJAB,BATHINDA,MAUR,MANAK KHANA,100,164,31,49,0,0,111,53
PUNJAB,BATHINDA,MAUR,MANSA KALAN,405,713,242,508,0,0,408,305
PUNJAB,BATHINDA,MAUR,MARRI,133,249,96,190,0,0,144,105
PUNJAB,BATHINDA,MAUR,MAUR CHARRAT SINGH,517,911,340,638,0,0,464,447
PUNJAB,BATHINDA,MAUR,RAI KHANNA,283,448,153,276,0,0,281,167
PUNJAB,BATHINDA,MAUR,RAJGARH KUBBE,682,1210,366,761,2,2,695,515
PUNJAB,BATHINDA,MAUR,RAM NAGAR,645,1179,594,1092,0,0,566,613
